Component,Part Number,Description,Quantity
,FJYF0,"ASSEMBLY, CABLE, PERIPHERAL COMPONENT INTERCONNECT EXPRESS , LEFT, 4S, R940",1
210-AKWP : PowerEdge R940 Server,YG03D,"SERVICE CHARGE, MZR, DRIVERS (SOFTWARE), SERVER, SERVER CHASSIS, 14G, SDP1, GENERAL",1
,T845M,"INSTRUCTION, TRIGGER, SVC TAG",1
,WH190,"SERVICE CHARGE, DRIVER, DELL BKPLN",1
,N1V9D,"SERVICE CHARGE, MZR, DIAGS, SERVER, SERVER CHASSIS, 14G",1
,DNCPW,"INFORMATION, ROYALTY, EXPANSION, EXPAND, 14G, AVOCENT",1
,Y634J,"INFORMATION, MZR, SERVER, SERVER CHASSIS",1
,6P66G,"SERVICE CHARGE, SOFTWARE, ENTERPRISE SYSTEMS GROUP, POWEREDGE, VIDEO, 14G",1
,P6DJ1,"SERVICE CHARGE, OSCILLATOR, 14G, DRIVERS (SOFTWARE), SERVER, SERVER CHASSIS",1
,J33XJ,,1
,T5FW9,"SERVICE CHARGE, DRIVER, SERIAL ATTACHED SCSI, PERC S140, R940",1
,C108D,"INFORMATION, LABEL, BLACK EST",1
,5NC3N,"INFORMATION, LABEL, QRL, 13G, ALTERNATE",1
,DF3MX,"INFORMATION, 64-BIT, UEFI-MFG, PROCESS",1
,JD509,"LABEL, REGULATORY, SIDE, UNIVERSAL, BLANK , V2",1
,GD720,"Information, Label, MINI-XPRS-  Service-Tag",1
,T6N3T,"INFORMATION, ROYALTY, GDRIVER, 14G, AMERICAN MEGATREND/AMI",1
,23503,"LABEL, BARCODE, TRACK, SYSTEM BOARD, GENERIC",1
,17JN1,"SERVICE CHARGE, SOFTWARE, ISM 3201, LCDUP",1
,17V8K,"INFORMATION, PROCESS-START, UEFI",1
